key,value
"PROJECT_TYPE",proj_type
"APN",apn
"NAMEADDR",address
"PHASE",phase
"ALIAS",alias
"ENTITLEMENT",entitled
"BESTSTAT",best_stat
"BESTDATE",best_date
"UNITS",units
"NET_UNITS",unitsnet
"AFF_UNITS",aff
"NET_AFF_UNITS",affnet
"SECTION415",section415
"TENURE_TYPE",tenure_type
"DA",da
"PLN_CASENO",caseno
"PLN_DESC",plndesc
"BP_APPLNO",dbi_permit
"BP_DESC",dbidesc
"COST",cost
"PROPUSE",propuse
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cult_inst_educ
"NET_CIE",net_cult_inst_educ
"MED",medical
"NET_MED",net_medical
"MIPS",office
"NET_MIPS",net_office
"PDR",prod_dist_rep
"NET_PDR",net_prod_dist_rep
"RET",ret_ent
"NET_RET",net_ret_ent
"VISIT",visitor
"NET_VISIT",net_visitor
"PLANNER",planner
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"NEIGHBORHOOD",neighborhood
"ZONING_SIM",zoning_simplified
"ZONING_GEN",zoning_gen
"ZONING_DISTRICT",districtname
"HEIGHT_DISTRICT",heightlimit
"SUPE_DISTRICT",supdist
"PLAN_DISTRICT",district
"PLAN_AREA",planarea
"PUBLICREALM",publicrealm
"STATUS",proj_status
"Location",location
