key,value
"APN",apn
"BESTSTAT",best_stat
"BESTDATE",best_date
"NAMEADDR",address
"Alias",alias
"UNITS",units
"NET_UNITS",unitsnet
"AFF_UNITS",aff
"NET_AFF_UNITS",affnet
"SECTION415",section415
"TENURE_TYPE",tenure_type
"PLN_CASENO",caseno
"BP_APPLNO",dbi_permit
"PROPUSE",propuse
"COST",cost
"BP_DESC",dbidesc
"PLN_DESC",plndesc
"PROJECT_TYPE",proj_type
"ENTITLEMENT",entitled
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cult_inst_educ
"NET_CIE",net_cult_inst_educ
"MED",medical
"NET_MED",net_medical
"MIPS",office
"NET_MIPS",net_office
"PDR",prod_dist_rep
"NET_PDR",net_prod_dist_rep
"RET",ret_ent
"NET_RET",net_ret_ent
"VISIT",visitor
"NET_VISIT",net_visitor
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPHONE",contactphone
"FirstFiled",firstfiled
"PLANNER",planner
"PLAN_AREA",planarea
"PUBLICREALM",publicrealm
"STATUS",proj_status
"PLAN_DISTRICT",district
"SUPE_DISTRICT",supdist
"ZONING_SIM",zoning
"ZONING_DISTRICT",districtname
"ZONING_GEN",zoning_gen
"ZONING",zoning
"HEIGHT_DISTRICT",heightlimit
"NEIGHBORHOOD",neighborhood
"Location",location
