key,value
"APN",apn
"Entitlement",entitled
"BESTSTAT",best_stat
"BESTDATE",best_date
"NAMEADDR",address
"Alias",alias
"PLN_CASENO",caseno
"BP_APPLNO",dbi_permit
"UNITS",units
"NET_UNITS",unitsnet
"AFF_UNITS",aff
"NET_AFF_UNITS",affnet
"SECTION415",section415
"TENURE_TYPE",tenure_type
"COST",cost
"PROPUSE",propuse
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cult_inst_educ
"NET_CIE",net_cult_inst_educ
"MED",medical
"NET_MED",net_medical
"MIPS",office
"NET_MIPS",net_office
"PDR",prod_dist_rep
"NET_PDR",net_prod_dist_rep
"RET",ret_ent
"NET_RET",net_ret_ent
"VISIT",visitor
"NET_VISIT",net_visitor
"FirstFiled",firstfiled
"PLN_DESC",plndesc
"BP_DESC",dbidesc
"PLANNER",planner
"SPONSOR",sponsor_name
"SP_CONTACT",fullname
"SP_CONTACTPH",contactphone
"NEIGHBORHOOD",neighborhood
"PLAN_AREA",planarea
"PLAN_DISTRICT",district
"HEIGHT_DISTRICT",heightlimit
"ZONING_SIM",zoning
"ZONING_DISTRICT",districtname
"SUPE_DISTRICT",supdist
"Location",location
