key,value
"Block Lot",apn
"Address",address
"Planning Neighborhood",neighborhood
"Best Stat",best_stat
"Best Date",best_date
"Units",units
"Planning Project Description",planning_project_description
"DBI Project Description",dbi_project_description
"Zoning_Generalized",zoning_generalized
"Zoning_Simplified",zoning_simplified
"TAZ",taz
"Total GSF (Commercial)",total_gsf_commercial
"Office",office
"Cult, Inst, Educ",cult_inst_educ
"Medical",medical
"Prod, Dist, Rep",prod_dist_rep
"Ret, Ent",ret_ent
"Visitor",visitor
"Planning ID",planning_id
"DBI Permit",dbi_permit
"Planning Filed",planning_filed
"DBI Filed",dbi_filed
"HEIGHTLIMIT",heightlimit
"ZONING",zoning
"FirstFiled",firstfiled
"Longitude",x
"Latitude",y
"ObjectID",objectid
"LANDUSE",landuse
"EntitlementStatus",entitled
"Sponsor Firm",sponsor_firm
"Sponsor Name",sponsor_name
"CONTACTPHONE",contactphone
"FULLNAME",fullname
"CONTACTCITY",contactcity
"CONTACTADD",contactadd
