key,value
"PROJECT_TYPE",proj_type
"APN",apn
"NAMEADDR",address
"Alias",alias
"Entitled",entitled
"BESTSTAT",best_stat
"BESTDATE",best_date
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",aff
"AFFORDABLENET",affnetkey
"SECTION415",section415
"AFF_TARGET",aff_target
"TENURE_TYPE",tenure_type
"DA",da
"CASENO",caseno
"PLN_DESC",plndesc
"BPAPPLNO",dbi_permit
"BP_DESC",dbidesc
"COST",cost
"EXISTUSE",existuse
"PROPUSE",propuse
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE_EXIST",cie_exist
"CIE",cult_inst_educ
"CIENET",net_cult_inst_educ
"MED_EXIST",med_exist
"MED",medical
"MEDNET",net_medical
"MIPS_EXIST",mips_exist
"MIPS",office
"MIPSNET",net_office
"PDR_EXIST",pdr_exist
"PDR",prod_dist_rep
"PDRNET",pdrnet
"RET_EXIST",ret_exist
"RET",ret_ent
"RETNET",net_ret_ent
"VISIT_EXIST",visit_exist
"VISIT",visitor
"VISITNET",visitnet
"PLANNER",planner
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"NEWNEIGHBO",newneighbo
"Zoning_Simplified",zoning_simplified
"Zoning_Generalized",zoning_generalized
"ZONING",zoning_simplified
"HEIGHTLIMIT",heightlimitkey
"SUPDIST",supdist
"PLNGAREA",plngarea
"Location",locationkey
