key,value
"NEIGHBORHOOD",neighborhood
"APN",apn
"LANDUSE",landuse
"BESTSTAT",best_stat
"BESTDATE",best_date
"NAMEADDR",address
"Alias",alias
"CASENO",caseno
"DESCRIPT",descript
"BPAPPLNO",dbi_permit
"PROPUSE",propuse
"DBIDESC",dbidesc
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",aff
"AFFORDABLENET",affnet
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cie
"CIENET",cienet
"MED",med
"MEDNET",mednet
"MIPS",mips
"MIPSNET",mipsnet
"PDR",pdr
"PDRNET",pdrnet
"RET",ret
"RETNET",retnet
"VISIT",visit
"VISITNET",visitnet
"FirstFiled",firstfiled
"EntitledStatus",entitled
"SPONSOR",sponsor
"CONTACT",contact
"CONTACTPH",contactph
"PLANNER",planner
"SOURCE",source
"SUPE_DIST",supdist
"PLN_DISTRICT",district
"PLN_AREA",planarea
"HEIGHT",height
"ZONING_SIM",zoning_simplified
"ZONE_NAME",districtname
"geography",location
