key,value
"PROJECT_TYPE",proj_type
"NAMEADDR",address
"Alias",alias
"BESTSTAT",best_stat
"BESTDATE",best_date
"Entitlement",entitled
"PLN_CASENO",caseno
"PLN_DESC",plndesc
"PROPUSE",propuse
"BP_APPLNO",dbi_permit
"BP_DESC",dbidesc
"UNITS",units
"NET_UNITS",unitsnet
"AFF_UNITS",aff
"NET_AFF_UNITS",affnet
"SECTION415",section415
"TENURE_TYPE",tenure_type
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE",cult_inst_educ
"NET_CIE",net_cult_inst_educ
"MED",medical
"NET_MED",net_medical
"MIPS",office
"NET_MIPS",net_office
"PDR",prod_dist_rep
"NET_PDR",net_prod_dist_rep
"RET",ret_ent
"NET_RET",net_ret_ent
"VISIT",visitor
"NET_VISIT",net_visitor
"APPLICANT",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"COST",cost
"FirstFiled",firstfiled
"PLANNER",planner
"APN",apn
"PLAN_AREA",planarea
"PLN_DISTRICT",district
"SUPE_DISTRICT",supdist
"ZONING_SIM",zoning_simplified
"ZONING_DISTRICT",districtname
"ZONING_GEN",zoning_gen
"NEIGHBORHOOD",neighborhood
"HEIGHT_DISTRICT",heightlimit
"Location",location
