key,value
"PROJECT_TYPE",proj_type
"BLKLOT",apn
"NAMEADDR",address
"Entitled",entitled
"BESTSTAT",best_stat
"BESTDATE",best_date
"UNITS",units
"UNITSNET",unitsnet
"AFFORDABLE",aff
"AFFORDABLENET",affnetkey
"SECTION415",section415
"AFF_TARGET",aff_target
"TENURE_TYPE",tenure_type
"CASENO",caseno
"DESCRIPT",descript
"DBIDESC",dbidesc
"TOTAL_GSF",total_gsf
"NET_GSF",net_gsf
"CIE_EXIST",cie_exist
"CIE",cult_inst_educ
"CIENET",net_cult_inst_educ
"MED_EXIST",med_exist
"MED",medical
"MEDNET",net_medical
"MIPS_EXIST",mips_exist
"MIPS",office
"MIPSNET",net_office
"PDR_EXIST",pdr_exist
"PDR",prod_dist_rep
"PDRNET",pdrnet
"RET_EXIST",ret_exist
"RET",ret_ent
"RETNET",net_ret_ent
"RESTAURANT",restaurant
"RESTAURANTNET",restaurantnet
"VISIT_EXIST",visit_exist
"VISIT",visitor
"VISITNET",visitnet
"HOTEL_ROOM_EXIST",hotel_room_exist
"HOTEL_ROOM_PROP",hotel_room_prop
"HOTEL_ROOM_NET",hotel_room_net
"PLANNER",planner
"SPONSOR",sponsor_name
"CONTACT",fullname
"CONTACTPH",contactphone
"NEIGHBORHOOD",neighborhood
"ZONING_SIM",zoning_simplified
"ZONING_GEN",zoning_gen
"ZONING_DISTRICT",districtname
"supervisor",supervisor
"PLAN_DISTRICT",district
"PLAN_AREA",planarea
"Location 1",location
